user_id,rho_a,Nw,pd_t,pw_t,p_Na,A_best,p_value
1095473116,32.42231040171206,99.75783294221729,"[0.18181818 0.04545455 0.04545455 0.         0.04545455 0.04545455
 0.09090909 0.04545455 0.09090909 0.18181818 0.09090909 0.04545455
 0.         0.04545455 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.04545455]","[0.63636364 0.36363636 0.         0.         0.         0.
 0.        ]","[0.31818182 0.18181818 0.09090909 0.04545455 0.04545455 0.
 0.04545455 0.         0.         0.04545455 0.         0.
 0.04545455 0.         0.         0.         0.04545455 0.
 0.         0.         0.09090909 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.04545455]",1.0490896912348708,0.2
1762777403,42.80701754385952,479.4632310091194,"[0.08609272 0.08609272 0.09271523 0.04635762 0.02649007 0.02649007
 0.00662252 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.07284768 0.12582781
 0.09271523 0.05960265 0.11258278 0.05298013 0.0397351  0.07284768]","[0.33112583 0.60927152 0.05960265 0.         0.         0.
 0.        ]",[0.68211921 0.24503311 0.05960265 0.01324503],0.6594185570641143,0.0
1457424889,108.94596988485385,52.106487464461104,"[0.33333333 0.33333333 0.         0.         0.         0.
 0.         0.         0.         0.33333333 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",[1. 0. 0. 0. 0. 0. 0.],"[0.         0.         0.         0.33333333 0.33333333 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.33333333]",1.6788706811731644,0.2631578947368421
7094531229,33.12538989394904,419.65500176019503,"[0.16911765 0.05147059 0.07352941 0.         0.01470588 0.19117647
 0.13235294 0.00735294 0.05147059 0.         0.         0.
 0.         0.         0.00735294 0.06617647 0.07352941 0.02941176
 0.04411765 0.         0.02205882 0.01470588 0.01470588 0.03676471]","[0.27205882 0.34558824 0.38235294 0.         0.         0.
 0.        ]",[0.69852941 0.20588235 0.06617647 0.02205882 0.00735294],0.49562180258990196,0.0
702737014,22.942461762563795,333.69566338369515,"[0.17757009 0.05607477 0.10280374 0.12149533 0.09345794 0.1682243
 0.         0.         0.         0.         0.         0.
 0.00934579 0.03738318 0.00934579 0.03738318 0.03738318 0.03738318
 0.02803738 0.         0.00934579 0.         0.00934579 0.06542056]","[0.52336449 0.28037383 0.19626168 0.         0.         0.
 0.        ]","[0.79439252 0.13084112 0.05607477 0.00934579 0.         0.
 0.00934579]",0.9368008479046395,1.0
57072401,55.69940006315093,503.1412248170793,"[0.03614458 0.         0.         0.01204819 0.02409639 0.
 0.03614458 0.01204819 0.01204819 0.04819277 0.         0.
 0.         0.         0.03614458 0.         0.28915663 0.30120482
 0.12048193 0.         0.04819277 0.01204819 0.         0.01204819]","[0.98795181 0.01204819 0.         0.         0.         0.
 0.        ]",[0.65060241 0.1686747  0.13253012 0.03614458 0.01204819],1.063822487281856,0.1
1110241832,58.82770870337399,118.39601588010055,"[0.18666667 0.05333333 0.08       0.06666667 0.05333333 0.01333333
 0.08       0.09333333 0.04       0.         0.05333333 0.01333333
 0.         0.         0.         0.         0.         0.
 0.04       0.05333333 0.02666667 0.02666667 0.04       0.08      ]","[0.41333333 0.30666667 0.18666667 0.04       0.05333333 0.
 0.        ]",[0.58666667 0.29333333 0.05333333 0.05333333 0.01333333],0.31244504426796005,0.0
5212333848,19.95435278774031,215.3198146699561,"[0.08450704 0.05633803 0.01408451 0.08450704 0.01408451 0.04225352
 0.11267606 0.01408451 0.         0.         0.         0.
 0.         0.         0.         0.         0.01408451 0.15492958
 0.09859155 0.02816901 0.07042254 0.12676056 0.04225352 0.04225352]","[0.21126761 0.54929577 0.23943662 0.         0.         0.
 0.        ]",[0.63380282 0.26760563 0.08450704 0.01408451],0.3616228741780304,0.05
1065332141,18.93989214783628,296.46831749144076,"[0.015625 0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.015625 0.03125  0.09375  0.265625 0.34375
 0.09375  0.       0.078125 0.       0.046875 0.       0.       0.015625]",[0.953125 0.046875 0.       0.       0.       0.       0.      ],[0.625    0.203125 0.125    0.03125  0.       0.015625],1.072619589038526,0.15
5564321416,20.007939658594527,197.630167356234,"[0.16923077 0.03076923 0.06153846 0.01538462 0.         0.06153846
 0.06153846 0.01538462 0.         0.         0.         0.01538462
 0.         0.         0.         0.         0.         0.18461538
 0.06153846 0.03076923 0.15384615 0.04615385 0.04615385 0.04615385]","[0.30769231 0.58461538 0.10769231 0.         0.         0.
 0.        ]",[0.70769231 0.18461538 0.07692308 0.03076923],0.3124858348951102,0.05
6221273187,43.16916488222727,273.75306623058054,"[0.06451613 0.         0.         0.         0.         0.12903226
 0.17741935 0.16129032 0.11290323 0.01612903 0.         0.03225806
 0.01612903 0.0483871  0.08064516 0.         0.         0.
 0.         0.         0.         0.01612903 0.0483871  0.09677419]","[0.46774194 0.53225806 0.         0.         0.         0.
 0.        ]",[0.69354839 0.19354839 0.08064516 0.03225806],0.6951553963424576,0.95
6019632868,34.70557582073969,102.94748452723819,"[0.22 0.08 0.06 0.   0.06 0.02 0.   0.26 0.14 0.1  0.02 0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.02 0.   0.   0.02]",[0.04 0.2  0.1  0.66 0.   0.   0.  ],[0.6  0.26 0.06 0.02 0.04 0.   0.   0.02],0.33424357049678255,0.95
1354320169,54.49041372351162,631.8468159421194,"[0.10447761 0.07462687 0.         0.         0.11940299 0.02985075
 0.         0.         0.         0.14925373 0.14925373 0.14925373
 0.04477612 0.01492537 0.05970149 0.07462687 0.         0.02985075
 0.         0.         0.         0.         0.         0.        ]",[1. 0. 0. 0. 0. 0. 0.],[0.82089552 0.13432836 0.04477612],1.8467817375883955,0.25
693274644,67.04604242110659,104.67731586234845,"[0.07317073 0.02439024 0.02439024 0.26829268 0.04878049 0.
 0.02439024 0.14634146 0.09756098 0.04878049 0.07317073 0.04878049
 0.         0.         0.         0.         0.         0.12195122
 0.         0.         0.         0.         0.         0.        ]","[0.46341463 0.48780488 0.04878049 0.         0.         0.
 0.        ]","[0.43902439 0.34146341 0.19512195 0.         0.         0.
 0.02439024]",0.3636628590487202,0.05
1067701314,23.82352941176457,242.56599153535205,"[0.13157895 0.         0.02631579 0.         0.         0.
 0.         0.         0.         0.         0.02631579 0.
 0.         0.         0.         0.         0.         0.
 0.21052632 0.31578947 0.15789474 0.13157895 0.         0.        ]","[0.97368421 0.02631579 0.         0.         0.         0.
 0.        ]","[0.5        0.28947368 0.10526316 0.07894737 0.         0.
 0.         0.         0.02631579]",0.7642968548696825,0.0
5229698385,46.473339569691284,31.623529411764707,"[0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.33333333 0.
 0.         0.         0.33333333 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",[1. 0. 0. 0. 0. 0. 0.],"[0.         0.33333333 0.         0.         0.33333333 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.33333333]",1.1942799294143451,0.3888888888888889
1131058651,8.297763360081943,175.86994751928216,"[0.0952381  0.         0.02380952 0.02380952 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.04761905 0.78571429 0.02380952 0.
 0.         0.         0.         0.         0.         0.        ]","[0.80952381 0.19047619 0.         0.         0.         0.
 0.        ]","[0.66666667 0.19047619 0.0952381  0.02380952 0.         0.
 0.         0.         0.02380952]",0.7081952202390009,0.9
1179144696,265.573770491807,2768.3857186451028,"[0.43333333 0.16666667 0.33333333 0.06666667 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",[1. 0. 0. 0. 0. 0. 0.],[0.85 0.15],2.6415064345530896,0.5
1304166575,8.790233074361824,102.1122909272425,"[0.06521739 0.08695652 0.         0.04347826 0.02173913 0.02173913
 0.         0.2173913  0.2173913  0.19565217 0.08695652 0.
 0.         0.         0.         0.02173913 0.02173913 0.
 0.         0.         0.         0.         0.         0.        ]","[0.30434783 0.30434783 0.32608696 0.06521739 0.         0.
 0.        ]",[0.73913043 0.19565217 0.         0.         0.04347826 0.02173913],0.31272737429958947,0.7
1853283904,31.916845001528518,420.84516577962495,"[0.18918919 0.         0.         0.         0.         0.
 0.05405405 0.16216216 0.35135135 0.02702703 0.10810811 0.02702703
 0.02702703 0.         0.05405405 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",[1. 0. 0. 0. 0. 0. 0.],[0.62162162 0.13513514 0.08108108 0.16216216],1.6967014985390694,0.2
468916394,21.481481481481485,43.02559268678749,"[0.25 0.   0.25 0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.25 0.   0.   0.   0.   0.   0.   0.   0.  ]",[1. 0. 0. 0. 0. 0. 0.],"[0.25 0.   0.25 0.   0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.25]",1.2764470028383144,1.0
10749503,21.595680863827248,214.86810551558753,"[0.11111111 0.30555556 0.02777778 0.08333333 0.02777778 0.
 0.         0.         0.         0.         0.         0.
 0.         0.08333333 0.02777778 0.         0.19444444 0.
 0.13888889 0.         0.         0.         0.         0.        ]","[0.91666667 0.08333333 0.         0.         0.         0.
 0.        ]","[0.69444444 0.19444444 0.05555556 0.02777778 0.         0.
 0.02777778]",1.0736753699583363,0.95
578863659,35.798632691112665,342.6778242677824,"[0.23076923 0.         0.         0.1025641  0.         0.
 0.02564103 0.         0.         0.         0.         0.
 0.         0.         0.17948718 0.07692308 0.35897436 0.
 0.         0.02564103 0.         0.         0.         0.        ]",[1. 0. 0. 0. 0. 0. 0.],[0.69230769 0.25641026 0.02564103 0.         0.02564103],1.2007348691363164,0.1
5689570195,61.904761904757464,148.78979605997714,"[0.12820513 0.         0.         0.         0.         0.
 0.         0.         0.         0.35897436 0.1025641  0.12820513
 0.         0.         0.         0.         0.1025641  0.15384615
 0.         0.02564103 0.         0.         0.         0.        ]","[0.15384615 0.84615385 0.         0.         0.         0.
 0.        ]",[0.76923077 0.15384615 0.05128205 0.02564103],0.3305306603480929,0.0
7472715818,25.27582748244734,16.103737036198794,"[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.5 0.  0.  0. ]",[1. 0. 0. 0. 0. 0. 0.],"[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5]",0.902275538385448,0.6153846153846154
5197641355,55.188679245282955,841.1682892906815,"[0.32352941 0.35294118 0.20588235 0.05882353 0.         0.
 0.05882353 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",[1. 0. 0. 0. 0. 0. 0.],[0.76470588 0.17647059 0.         0.02941176 0.02941176],1.951495146859041,0.65
271855505,42.175732217573966,75.4696433433161,"[0.03030303 0.12121212 0.         0.06060606 0.03030303 0.15151515
 0.03030303 0.03030303 0.         0.         0.         0.03030303
 0.         0.         0.         0.         0.03030303 0.21212121
 0.09090909 0.03030303 0.03030303 0.03030303 0.06060606 0.03030303]","[0.12121212 0.42424242 0.42424242 0.03030303 0.         0.
 0.        ]",[0.6969697  0.18181818 0.12121212],0.42160876355069854,0.25
852631182,5.860805860805858,98.54545682432052,"[0.07692308 0.11538462 0.         0.         0.         0.
 0.         0.         0.         0.11538462 0.         0.
 0.19230769 0.30769231 0.         0.         0.         0.
 0.         0.07692308 0.         0.07692308 0.         0.03846154]","[0.23076923 0.76923077 0.         0.         0.         0.
 0.        ]","[0.69230769 0.19230769 0.03846154 0.         0.03846154 0.
 0.         0.         0.         0.03846154]",0.7911461849643698,0.85
1025190273,21.62162162162108,184.77989663161645,"[0.05555556 0.05555556 0.         0.         0.36111111 0.08333333
 0.         0.02777778 0.19444444 0.05555556 0.         0.
 0.02777778 0.02777778 0.08333333 0.02777778 0.         0.
 0.         0.         0.         0.         0.         0.        ]","[0.80555556 0.19444444 0.         0.         0.         0.
 0.        ]",[0.88888889 0.05555556 0.05555556],0.8391122205694513,0.55
223210667,20.991253644314522,225.68402568183063,"[0.08823529 0.02941176 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.05882353 0.         0.         0.         0.         0.
 0.         0.02941176 0.14705882 0.52941176 0.08823529 0.02941176]","[0.91176471 0.08823529 0.         0.         0.         0.
 0.        ]",[0.82352941 0.11764706 0.05882353],0.8637648082692896,0.35
