user_id,rho_a,pd_t,pw_t,p_Na,Nw,A_best,p_value
274636082,2.0756828656938136,"[0.05070423 0.11267606 0.07323944 0.06760563 0.07042254 0.02253521
 0.         0.0056338  0.         0.         0.0056338  0.02535211
 0.03661972 0.06760563 0.02816901 0.01690141 0.03943662 0.04225352
 0.02253521 0.02816901 0.03098592 0.08169014 0.10985915 0.06197183]","[0.14647887 0.14647887 0.13239437 0.16619718 0.13521127 0.14366197
 0.12957746]","[0.42535211 0.24225352 0.09859155 0.07323944 0.03661972 0.02816901
 0.01690141 0.01971831 0.01408451 0.01690141 0.01126761 0.0028169
 0.         0.0028169  0.         0.         0.0056338  0.0056338 ]",6.901470439048776,0.8406269150630161,0.0
6988965722,2.6827532236688305,"[0.05813953 0.03197674 0.03197674 0.02034884 0.00872093 0.02034884
 0.00872093 0.00872093 0.00290698 0.00872093 0.02616279 0.03197674
 0.08139535 0.07848837 0.04651163 0.06686047 0.05523256 0.04069767
 0.05232558 0.05523256 0.03488372 0.05813953 0.10174419 0.06976744]","[0.20930233 0.09883721 0.24709302 0.11918605 0.09302326 0.10465116
 0.12790698]","[0.52616279 0.19767442 0.125      0.07267442 0.02325581 0.02616279
 0.01453488 0.00581395 0.         0.00290698 0.00581395]",6.809966565073659,0.6210104145481711,0.0
4473225,3.924972872422899,"[0.07692308 0.07692308 0.06666667 0.06666667 0.02564103 0.05641026
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.03589744 0.08205128 0.08205128
 0.09230769 0.08205128 0.08205128 0.04615385 0.07179487 0.05641026]","[0.14358974 0.14358974 0.14358974 0.15897436 0.16410256 0.11794872
 0.12820513]","[0.34358974 0.23076923 0.15897436 0.0974359  0.04102564 0.04615385
 0.00512821 0.02051282 0.00512821 0.02051282 0.00512821 0.
 0.01025641 0.         0.         0.         0.         0.00512821
 0.         0.         0.00512821 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00512821]",3.7492661120591095,1.7534487290189118,0.0
824741313,1.1751589477807651,"[0.05063291 0.05063291 0.01265823 0.03797468 0.01265823 0.
 0.         0.         0.         0.         0.11392405 0.05063291
 0.06329114 0.02531646 0.02531646 0.05063291 0.01265823 0.08860759
 0.10126582 0.08860759 0.10126582 0.03797468 0.03797468 0.03797468]","[0.24050633 0.15189873 0.13924051 0.21518987 0.13924051 0.06329114
 0.05063291]","[0.2278481  0.15189873 0.13924051 0.07594937 0.07594937 0.07594937
 0.05063291 0.01265823 0.03797468 0.02531646 0.01265823 0.01265823
 0.02531646 0.02531646 0.         0.         0.         0.01265823
 0.01265823 0.         0.02531646]",1.608105417820752,1.8747086673941868,0.0
412633448,1.9001188581558324,"[0.01503759 0.         0.         0.         0.0075188  0.04511278
 0.09022556 0.07518797 0.07518797 0.02255639 0.03759398 0.09022556
 0.03759398 0.08270677 0.08270677 0.05263158 0.03007519 0.04511278
 0.10526316 0.03759398 0.05263158 0.0075188  0.         0.0075188 ]","[0.16541353 0.18796992 0.15037594 0.17293233 0.15789474 0.06766917
 0.09774436]","[0.39849624 0.21052632 0.11278195 0.09022556 0.06766917 0.04511278
 0.03759398 0.0075188  0.         0.0075188  0.0075188  0.
 0.         0.         0.         0.0075188  0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.0075188 ]",2.7657740277787712,0.9127223300883196,0.0
302926911,3.0219944945624846,"[0.13953488 0.08139535 0.06976744 0.05813953 0.02325581 0.06395349
 0.03488372 0.04069767 0.06976744 0.03488372 0.01744186 0.
 0.         0.         0.         0.         0.04069767 0.10465116
 0.01162791 0.01744186 0.01162791 0.02906977 0.0755814  0.0755814 ]","[0.14534884 0.14534884 0.1627907  0.15116279 0.19186047 0.09883721
 0.10465116]","[0.5        0.29069767 0.12790698 0.02906977 0.02906977 0.01162791
 0.         0.00581395 0.00581395]",3.35019861305637,1.0023906716995676,0.0
1273291262,1.9342233800065407,"[0.07352941 0.05882353 0.06617647 0.03676471 0.04411765 0.02941176
 0.01470588 0.02941176 0.         0.         0.         0.
 0.         0.00735294 0.05882353 0.08088235 0.05147059 0.08088235
 0.08088235 0.08088235 0.08823529 0.02205882 0.05882353 0.03676471]","[0.07352941 0.17647059 0.13235294 0.18382353 0.17647059 0.16176471
 0.09558824]","[0.43382353 0.25       0.13235294 0.10294118 0.05147059 0.01470588
 0.         0.00735294 0.00735294]",2.6740989674233004,1.6161647639549068,0.0
1848901170,2.9207451209913646,"[0.09333333 0.08       0.01333333 0.05333333 0.09333333 0.04
 0.04       0.01333333 0.         0.         0.         0.01333333
 0.         0.02666667 0.04       0.10666667 0.04       0.04
 0.06666667 0.02666667 0.08       0.01333333 0.06666667 0.05333333]","[0.10666667 0.17333333 0.05333333 0.21333333 0.17333333 0.14666667
 0.13333333]","[0.28       0.25333333 0.16       0.08       0.04       0.02666667
 0.04       0.01333333 0.02666667 0.         0.01333333 0.01333333
 0.         0.02666667 0.01333333 0.         0.01333333]",1.4634888095534846,1.425411597328539,0.0
1232695,1.5206228259069434,"[0.08092486 0.02890173 0.08092486 0.06358382 0.02890173 0.05202312
 0.05202312 0.11560694 0.06358382 0.06358382 0.02312139 0.02890173
 0.01734104 0.01734104 0.         0.         0.00578035 0.01734104
 0.02890173 0.02312139 0.03468208 0.03468208 0.05780347 0.08092486]","[0.15028902 0.11560694 0.15606936 0.16184971 0.14450867 0.13294798
 0.13872832]",[0.66473988 0.19075145 0.08092486 0.03468208 0.01156069 0.01734104],6.464050183028976,0.3976341438945845,0.0
1091197048,1.0763178599527852,"[0.05952381 0.1547619  0.07142857 0.01190476 0.04761905 0.01190476
 0.03571429 0.04761905 0.         0.03571429 0.08333333 0.07142857
 0.04761905 0.03571429 0.05952381 0.04761905 0.01190476 0.01190476
 0.01190476 0.         0.         0.         0.02380952 0.11904762]","[0.11904762 0.23809524 0.11904762 0.19047619 0.16666667 0.04761905
 0.11904762]","[0.30952381 0.20238095 0.1547619  0.13095238 0.07142857 0.03571429
 0.01190476 0.02380952 0.02380952 0.01190476 0.         0.01190476
 0.         0.         0.         0.         0.         0.
 0.         0.01190476]",1.9651000107145355,1.3182776691806322,0.0
