user_id,rho_a,Nw,pd_t,pw_t,p_Na,A_best,A_fit,p_value_reshuffle
8336493019,5.371785214677587,35.61025122605033,"[0.10160428 0.09269162 0.08199643 0.06951872 0.06238859 0.04812834
 0.05525847 0.03921569 0.0285205  0.02317291 0.02495544 0.03921569
 0.04812834 0.0802139  0.04991087 0.01960784 0.00713012 0.
 0.         0.         0.         0.00356506 0.03030303 0.09447415]","[0.15151515 0.21568627 0.16934046 0.14081996 0.06773619 0.13368984
 0.12121212]","[0.76292335 0.15508021 0.05525847 0.01604278 0.00534759 0.00178253
 0.         0.00178253 0.00178253]",0.2113544208160391,0.2475124898986966,0.0
323309626,4.5222788738640185,23.67948748735372,"[0.09333333 0.05866667 0.07466667 0.08266667 0.08533333 0.06666667
 0.032      0.01066667 0.008      0.         0.         0.
 0.         0.008      0.016      0.02933333 0.01066667 0.06133333
 0.008      0.07466667 0.056      0.072      0.08266667 0.06933333]","[0.096      0.19466667 0.152      0.10933333 0.104      0.20533333
 0.13866667]",[0.85333333 0.11466667 0.02933333 0.00266667],0.1563847725630701,0.392372153264529,0.0
1749791091,3.458490112881207,23.41948710200922,"[0.06830601 0.05191257 0.09016393 0.0273224  0.05737705 0.03005464
 0.03825137 0.06284153 0.02459016 0.09562842 0.05464481 0.03551913
 0.         0.         0.         0.         0.         0.00819672
 0.01639344 0.05464481 0.07103825 0.08196721 0.07103825 0.06010929]","[0.16666667 0.17759563 0.09562842 0.1147541  0.09836066 0.17213115
 0.17486339]",[0.84153005 0.1284153  0.02185792 0.00819672],0.1357133823537779,0.1795637136417233,0.1
145800528,1.6853975938325605,6.545956023188702,"[0.02247191 0.07865169 0.1011236  0.04494382 0.04494382 0.01123596
 0.05617978 0.04494382 0.1011236  0.02247191 0.02247191 0.05617978
 0.08988764 0.06741573 0.06741573 0.06741573 0.05617978 0.03370787
 0.         0.         0.         0.         0.01123596 0.        ]","[0.12359551 0.16853933 0.12359551 0.15730337 0.1011236  0.17977528
 0.14606742]","[0.5505618  0.12359551 0.06741573 0.06741573 0.02247191 0.05617978
 0.03370787 0.01123596 0.01123596 0.         0.         0.
 0.01123596 0.01123596 0.01123596 0.01123596 0.         0.
 0.         0.         0.         0.01123596]",0.6445261093345114,0.6773447745149039,0.05
6111348138,1.328509406657016,11.56680424718593,"[0.02083333 0.01388889 0.06944444 0.17361111 0.04166667 0.13888889
 0.14583333 0.06944444 0.06944444 0.04166667 0.05555556 0.02083333
 0.04861111 0.00694444 0.01388889 0.03472222 0.01388889 0.
 0.02083333 0.         0.         0.         0.         0.        ]","[0.25694444 0.11805556 0.19444444 0.20138889 0.16666667 0.03472222
 0.02777778]","[0.75       0.1875     0.04166667 0.01388889 0.         0.
 0.00694444]",0.2319225116899546,0.336065503247301,0.1
698141415,2.5089625718538855,6.866986040915323,"[0.07352941 0.05882353 0.04411765 0.10294118 0.05882353 0.
 0.05882353 0.14705882 0.         0.02941176 0.05882353 0.04411765
 0.04411765 0.04411765 0.         0.         0.         0.
 0.         0.02941176 0.         0.04411765 0.01470588 0.14705882]","[0.08823529 0.25       0.23529412 0.08823529 0.07352941 0.16176471
 0.10294118]","[0.48529412 0.16176471 0.11764706 0.07352941 0.02941176 0.04411765
 0.02941176 0.01470588 0.01470588 0.01470588 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.01470588]",0.5645081512338646,0.8582964007058421,0.05
17798588,1.7895704603279792,6.156843626201373,"[0.17391304 0.14130435 0.02173913 0.01086957 0.07608696 0.13043478
 0.07608696 0.         0.01086957 0.         0.         0.
 0.02173913 0.02173913 0.06521739 0.05434783 0.01086957 0.
 0.         0.         0.         0.         0.01086957 0.17391304]","[0.13043478 0.20652174 0.11956522 0.16304348 0.02173913 0.17391304
 0.18478261]","[0.64130435 0.13043478 0.05434783 0.09782609 0.02173913 0.02173913
 0.         0.         0.01086957 0.02173913]",0.3303390388498727,0.4129175218835763,0.0
5719413972,1.634850386419169,5.036391751742674,"[0.01388889 0.04166667 0.06944444 0.06944444 0.11111111 0.
 0.         0.04166667 0.04166667 0.02777778 0.         0.
 0.         0.         0.         0.         0.06944444 0.06944444
 0.15277778 0.11111111 0.04166667 0.02777778 0.01388889 0.09722222]","[0.125      0.22222222 0.13888889 0.15277778 0.125      0.05555556
 0.18055556]","[0.61111111 0.16666667 0.08333333 0.02777778 0.         0.
 0.         0.         0.02777778 0.02777778 0.01388889 0.01388889
 0.01388889 0.01388889]",0.7648230343000011,0.7817765349099878,0.0
53034376,1.949305321093898,7.073367081008063,"[0.125      0.04166667 0.01041667 0.01041667 0.         0.
 0.         0.         0.         0.02083333 0.1875     0.07291667
 0.11458333 0.03125    0.02083333 0.01041667 0.02083333 0.
 0.04166667 0.02083333 0.         0.08333333 0.07291667 0.11458333]","[0.14583333 0.09375    0.125      0.08333333 0.22916667 0.16666667
 0.15625   ]","[0.625      0.16666667 0.10416667 0.02083333 0.05208333 0.
 0.01041667 0.         0.01041667 0.01041667]",0.3178209948739447,0.5371930106164949,0.0
6947363606,1.2157263686216175,6.8212164448792745,"[0.04477612 0.07462687 0.07462687 0.04477612 0.04477612 0.01492537
 0.         0.05970149 0.         0.         0.         0.
 0.         0.         0.         0.07462687 0.05970149 0.11940299
 0.08955224 0.02985075 0.04477612 0.04477612 0.02985075 0.14925373]","[0.01492537 0.2238806  0.19402985 0.07462687 0.28358209 0.11940299
 0.08955224]","[0.49253731 0.19402985 0.07462687 0.05970149 0.07462687 0.02985075
 0.01492537 0.01492537 0.02985075 0.         0.         0.
 0.         0.         0.         0.01492537]",0.2347438111215404,0.2395173414457882,0.85
