user_id,rho_a,Nw,pd_t,pw_t,p_Na,A_best,A_fit,p_value_reshuffle
1505404600,20.09293632044855,88.59870536082896,"[0.13333333 0.05454545 0.07878788 0.06060606 0.06666667 0.06666667
 0.06060606 0.04242424 0.03636364 0.02424242 0.02424242 0.04242424
 0.01818182 0.03636364 0.06060606 0.         0.         0.
 0.         0.         0.         0.00606061 0.05454545 0.13333333]","[0.12121212 0.0969697  0.33939394 0.16969697 0.15151515 0.07878788
 0.04242424]","[0.52121212 0.18787879 0.13939394 0.04848485 0.02424242 0.03030303
 0.01212121 0.00606061 0.00606061 0.         0.01212121 0.00606061
 0.         0.         0.         0.00606061]",0.3490138853499454,0.4286346742383061,0.0
6973904485,2.4354669529974733,11.3929365843401,"[0.04651163 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.08139535 0.02325581
 0.04651163 0.10465116 0.08139535 0.10465116 0.03488372 0.04651163
 0.02325581 0.09302326 0.11627907 0.08139535 0.06976744 0.04651163]","[0.10465116 0.12790698 0.1744186  0.1627907  0.12790698 0.15116279
 0.15116279]","[0.45348837 0.09302326 0.08139535 0.11627907 0.04651163 0.05813953
 0.04651163 0.04651163 0.         0.02325581 0.         0.
 0.         0.02325581 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01162791]",0.4388520757925955,0.441089507898515,0.0
271855505,1.520654424493407,9.40312890960106,"[0.06451613 0.04301075 0.06451613 0.08064516 0.05913978 0.07526882
 0.05913978 0.0483871  0.09677419 0.02150538 0.02150538 0.07526882
 0.07526882 0.03225806 0.03763441 0.02688172 0.00537634 0.
 0.         0.         0.         0.00537634 0.03225806 0.07526882]","[0.19354839 0.24193548 0.15591398 0.11290323 0.10752688 0.05913978
 0.12903226]","[0.69354839 0.16129032 0.08602151 0.02150538 0.01612903 0.00537634
 0.00537634 0.00537634 0.00537634]",0.2996888412345154,0.4842510047507438,0.05
6601816159,5.7494576316700865,9.850334754561796,"[0.07142857 0.03571429 0.125      0.125      0.08928571 0.05357143
 0.         0.         0.         0.         0.         0.
 0.         0.05357143 0.10714286 0.         0.08928571 0.
 0.08928571 0.05357143 0.03571429 0.         0.03571429 0.03571429]","[0.05357143 0.10714286 0.125      0.26785714 0.26785714 0.16071429
 0.01785714]","[0.5        0.05357143 0.05357143 0.07142857 0.01785714 0.03571429
 0.03571429 0.01785714 0.08928571 0.01785714 0.         0.
 0.01785714 0.         0.         0.01785714 0.         0.01785714
 0.01785714 0.         0.         0.         0.         0.
 0.         0.         0.         0.01785714 0.         0.
 0.         0.         0.         0.         0.01785714]",0.9537120865332775,1.0535586947738245,0.0
7094531229,1.7694497691775548,6.838711136437776,"[0.14150943 0.03773585 0.0754717  0.03773585 0.01886792 0.06603774
 0.00943396 0.09433962 0.12264151 0.03773585 0.03773585 0.02830189
 0.04716981 0.01886792 0.06603774 0.04716981 0.         0.00943396
 0.         0.         0.         0.         0.00943396 0.09433962]","[0.27358491 0.22641509 0.1509434  0.12264151 0.11320755 0.05660377
 0.05660377]","[0.49056604 0.23584906 0.08490566 0.08490566 0.03773585 0.03773585
 0.         0.00943396 0.00943396 0.00943396]",0.6199859700162307,0.6477173007890762,0.0
1762777403,3.456094587851871,10.158644842153,"[0.09722222 0.01388889 0.02777778 0.125      0.05555556 0.125
 0.06944444 0.11111111 0.04166667 0.04166667 0.09722222 0.01388889
 0.05555556 0.04166667 0.06944444 0.         0.         0.
 0.         0.         0.         0.         0.         0.01388889]","[0.18055556 0.125      0.23611111 0.09722222 0.13888889 0.09722222
 0.125     ]","[0.47222222 0.20833333 0.11111111 0.06944444 0.02777778 0.02777778
 0.         0.         0.01388889 0.01388889 0.         0.
 0.         0.         0.01388889 0.01388889 0.         0.
 0.01388889 0.         0.         0.         0.         0.
 0.01388889]",0.5678106511464106,0.5255578575480324,0.0
1151037126,5.057177686190292,28.111983318655856,"[0.10752688 0.03225806 0.04301075 0.08602151 0.05376344 0.06451613
 0.07526882 0.05376344 0.06451613 0.08602151 0.05376344 0.03225806
 0.02150538 0.02150538 0.04301075 0.05376344 0.04301075 0.01075269
 0.         0.         0.         0.         0.01075269 0.04301075]","[0.13978495 0.07526882 0.2688172  0.1827957  0.17204301 0.06451613
 0.09677419]","[0.52688172 0.22580645 0.06451613 0.05376344 0.04301075 0.03225806
 0.02150538 0.         0.         0.01075269 0.01075269 0.01075269]",0.2963872716362221,0.5364506195433755,0.0
2047003776,0.1155826987367132,0.1162036193033911,"[0.16666667 0.         0.         0.16666667 0.         0.
 0.         0.         0.         0.         0.         0.16666667
 0.16666667 0.16666667 0.         0.         0.         0.
 0.         0.         0.         0.         0.16666667 0.        ]","[0.5        0.16666667 0.         0.33333333 0.         0.
 0.        ]","[0.16666667 0.16666667 0.         0.         0.         0.33333333
 0.16666667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.16666667]",0.679814002322073,0.736982234275186,0.1
6221273187,12.32032854209444,46.556999865286464,"[0.04166667 0.09722222 0.         0.         0.04166667 0.08333333
 0.02777778 0.         0.05555556 0.09722222 0.06944444 0.05555556
 0.04166667 0.         0.02777778 0.01388889 0.         0.01388889
 0.11111111 0.05555556 0.06944444 0.02777778 0.04166667 0.02777778]","[0.43055556 0.29166667 0.05555556 0.06944444 0.01388889 0.05555556
 0.08333333]","[0.55555556 0.125      0.05555556 0.04166667 0.11111111 0.02777778
 0.06944444 0.         0.         0.         0.         0.
 0.01388889]",0.5409051095377989,0.9993669800645516,0.0
5689570195,0.8355490435079167,1.9751254835205017,"[0.03571429 0.         0.         0.         0.         0.17857143
 0.07142857 0.10714286 0.07142857 0.         0.07142857 0.03571429
 0.         0.         0.         0.         0.07142857 0.
 0.03571429 0.03571429 0.         0.17857143 0.10714286 0.        ]","[0.35714286 0.14285714 0.21428571 0.03571429 0.07142857 0.03571429
 0.14285714]","[0.60714286 0.17857143 0.03571429 0.03571429 0.03571429 0.03571429
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.03571429 0.         0.         0.         0.
 0.         0.03571429]",1.6511158807368556,2.4804420861848966,0.0
