user_id,rho_a,Nw,pd_t,pw_t,p_Na,A_best,A_fit,p_value_reshuffle
274636082,1.7877231550257313,14.171835724728217,"[0.02972973 0.02567568 0.03513514 0.03378378 0.03648649 0.02027027
 0.03378378 0.06756757 0.08918919 0.06081081 0.06756757 0.11621622
 0.09054054 0.08513514 0.07162162 0.03108108 0.00675676 0.0027027
 0.         0.         0.0027027  0.01891892 0.02972973 0.04459459]","[0.12837838 0.15135135 0.1472973  0.15945946 0.14594595 0.14594595
 0.12162162]","[0.76756757 0.15405405 0.05135135 0.01756757 0.00675676 0.00135135
 0.00135135]",0.2520895951507053,0.33821023008342777,0.0
6988965722,1.5756134778829087,12.745302669246838,"[0.04468413 0.06625578 0.06625578 0.03081664 0.04160247 0.04468413
 0.04776579 0.07395994 0.08782743 0.06317411 0.07550077 0.01694915
 0.03543914 0.00924499 0.02003082 0.02619414 0.01078582 0.0046225
 0.00154083 0.02311248 0.01386749 0.03543914 0.09090909 0.06933744]","[0.20647149 0.13867488 0.19106317 0.15716487 0.09553159 0.09399076
 0.11710324]",[0.89984592 0.08782743 0.01078582 0.00154083],0.059135204151395074,0.10023571117628119,0.45
4473225,1.2686789171377055,8.82208667120213,"[0.06263499 0.11231102 0.08855292 0.03455724 0.03455724 0.04967603
 0.06263499 0.05615551 0.10367171 0.1425486  0.06695464 0.01727862
 0.05615551 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.05399568 0.05831533]","[0.15982721 0.13390929 0.19006479 0.13822894 0.10367171 0.16414687
 0.11015119]",[0.78833693 0.13390929 0.05399568 0.00863931 0.01079914 0.00431965],0.21761153982058365,0.339025001536108,0.0
824741313,1.1622830618158138,4.909540646696527,"[0.12244898 0.06938776 0.04081633 0.07755102 0.02040816 0.0244898
 0.02857143 0.02040816 0.06122449 0.02040816 0.         0.
 0.         0.         0.         0.09795918 0.10204082 0.02040816
 0.04489796 0.00816327 0.04081633 0.04897959 0.07755102 0.07346939]","[0.15102041 0.13877551 0.1877551  0.14693878 0.07755102 0.07755102
 0.22040816]","[0.65306122 0.19591837 0.07346939 0.03673469 0.0244898  0.00408163
 0.00816327 0.00408163]",0.49027856593930463,0.4908079019391774,0.0
412633448,0.7731517679470634,6.779437880195008,"[0.09118541 0.04559271 0.03039514 0.0668693  0.04559271 0.0668693
 0.06382979 0.03951368 0.00303951 0.         0.01823708 0.00303951
 0.         0.         0.         0.02735562 0.05167173 0.0881459
 0.04255319 0.07598784 0.02735562 0.07294833 0.07902736 0.06079027]","[0.15805471 0.18844985 0.27051672 0.11854103 0.10030395 0.05471125
 0.10942249]",[0.84802432 0.11854103 0.02431611 0.00911854],0.12230395311543249,0.16088374429787491,0.2
302926911,0.7205963556046305,5.806330364273324,"[0.10774411 0.13468013 0.03703704 0.02693603 0.02020202 0.04377104
 0.03703704 0.04713805 0.09090909 0.04713805 0.003367   0.
 0.         0.         0.         0.00673401 0.06734007 0.1010101
 0.01010101 0.01010101 0.01346801 0.02356902 0.07407407 0.0976431 ]","[0.14814815 0.14814815 0.15488215 0.10774411 0.24242424 0.12121212
 0.07744108]",[0.90909091 0.08417508 0.00673401],0.1417597826170235,0.11857106149215504,0.15
1273291262,0.5662526441395129,4.752835350629395,"[0.04526749 0.04115226 0.0781893  0.0617284  0.06584362 0.04938272
 0.02880658 0.05761317 0.02469136 0.03703704 0.         0.
 0.         0.         0.         0.00411523 0.02469136 0.06995885
 0.03292181 0.04938272 0.09465021 0.06995885 0.13580247 0.02880658]","[0.17695473 0.12757202 0.09465021 0.04938272 0.218107   0.1563786
 0.17695473]",[0.79835391 0.16460905 0.03703704],0.26293856854618,0.4245944201450683,0.0
1848901170,0.67083453679807,3.830665188872752,"[0.06632653 0.05612245 0.02040816 0.07142857 0.01530612 0.04591837
 0.00510204 0.10204082 0.03571429 0.09693878 0.10714286 0.06632653
 0.04591837 0.10204082 0.01530612 0.0255102  0.         0.00510204
 0.00510204 0.00510204 0.         0.         0.02040816 0.08673469]","[0.20918367 0.12244898 0.06122449 0.11734694 0.21428571 0.10714286
 0.16836735]",[0.74489796 0.16326531 0.04591837 0.03571429 0.00510204 0.00510204],0.3362648024541637,0.30555333203234053,0.15
1232695,1.0110045557612783,9.16346729184249,"[0.06854839 0.06854839 0.09274194 0.03629032 0.09274194 0.06451613
 0.02822581 0.06854839 0.0483871  0.11290323 0.0483871  0.0766129
 0.02419355 0.01612903 0.02822581 0.         0.         0.
 0.01209677 0.02016129 0.03225806 0.02822581 0.00806452 0.02419355]","[0.15322581 0.10483871 0.13306452 0.19758065 0.12903226 0.17741935
 0.10483871]",[0.91129032 0.0766129  0.00806452 0.         0.00403226],0.09595748725053149,0.42815583922591893,0.75
1091197048,0.7876989976415129,4.2423459398086365,"[0.01117318 0.00558659 0.         0.         0.         0.01117318
 0.11731844 0.05586592 0.1396648  0.08938547 0.03351955 0.04469274
 0.01675978 0.01675978 0.03910615 0.         0.03910615 0.10614525
 0.10055866 0.04469274 0.02234637 0.02793296 0.04469274 0.03351955]","[0.11731844 0.26815642 0.22346369 0.08379888 0.04469274 0.10614525
 0.15642458]","[0.69273743 0.18435754 0.06145251 0.03910615 0.01675978 0.
 0.         0.00558659]",0.29410388573576257,0.41429808541572605,0.15
323949554,0.4547885851290702,4.434481761770654,"[0.06363636 0.04545455 0.09090909 0.07727273 0.06818182 0.03636364
 0.05909091 0.03181818 0.01818182 0.01363636 0.02727273 0.05909091
 0.01363636 0.02272727 0.         0.00454545 0.00909091 0.00454545
 0.00909091 0.03181818 0.08181818 0.06818182 0.06818182 0.09545455]","[0.19545455 0.20454545 0.17272727 0.15909091 0.13636364 0.06818182
 0.06363636]",[0.82727273 0.14090909 0.02272727 0.00909091],0.23448281583688335,0.3859228155284436,0.45
8786749,1.4087569024740234,4.524343020498795,"[0.02575107 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.24034335
 0.25751073 0.06008584 0.02145923 0.00429185 0.00429185 0.00429185
 0.00429185 0.01287554 0.02145923 0.06437768 0.1416309  0.13733906]","[0.24034335 0.17167382 0.25321888 0.1416309  0.         0.00858369
 0.18454936]",[0.89270386 0.09871245 0.00858369],0.17226867248051053,0.2757017397183848,0.55
