user_id,rho_a,pd_t,pw_t,p_Na,Nw,A_best,p_value
8336493019,7.862806699162159,"[0.04482759 0.09310345 0.04482759 0.02068966 0.00344828 0.
 0.         0.         0.         0.00344828 0.03103448 0.05517241
 0.11034483 0.07931034 0.08275862 0.04482759 0.06896552 0.07931034
 0.06206897 0.02758621 0.03448276 0.02758621 0.04137931 0.04482759]","[0.19655172 0.07931034 0.1        0.10344828 0.13448276 0.22413793
 0.16206897]","[0.41034483 0.25862069 0.12413793 0.06551724 0.04482759 0.02413793
 0.02758621 0.         0.01724138 0.00689655 0.00689655 0.
 0.00344828 0.         0.         0.00689655 0.         0.
 0.         0.         0.00344828]",19.800833366355043,0.9328210177427384,0.0
323309626,4.615763681660085,"[0.03680982 0.04907975 0.05521472 0.08588957 0.06134969 0.06134969
 0.11042945 0.08588957 0.07361963 0.07361963 0.09202454 0.06134969
 0.04294479 0.02453988 0.00613497 0.00613497 0.         0.
 0.         0.00613497 0.01226994 0.02453988 0.00613497 0.02453988]","[0.12883436 0.16564417 0.12883436 0.18404908 0.08588957 0.16564417
 0.14110429]","[0.4601227  0.19631902 0.10429448 0.0797546  0.04294479 0.03067485
 0.02453988 0.01226994 0.00613497 0.01840491 0.00613497 0.00613497
 0.00613497 0.         0.         0.         0.         0.00613497]",11.052533685134232,1.1265276637305326,0.0
1749791091,5.894651988815198,"[0.03370787 0.         0.         0.         0.         0.
 0.01685393 0.03932584 0.0505618  0.08426966 0.05617978 0.06741573
 0.0505618  0.0505618  0.03932584 0.08426966 0.02247191 0.07865169
 0.03370787 0.04494382 0.0505618  0.04494382 0.1011236  0.0505618 ]","[0.11235955 0.14044944 0.20224719 0.16292135 0.15168539 0.11797753
 0.11235955]","[0.42696629 0.25842697 0.12359551 0.07865169 0.02247191 0.02808989
 0.02247191 0.01123596 0.01123596 0.         0.00561798 0.00561798
 0.00561798]",12.405030209882458,0.4347497747503793,0.0
145800528,1.9314400242020848,"[0.09090909 0.02272727 0.02272727 0.         0.         0.
 0.         0.02272727 0.04545455 0.13636364 0.06818182 0.09090909
 0.04545455 0.         0.02272727 0.04545455 0.11363636 0.
 0.02272727 0.02272727 0.09090909 0.06818182 0.04545455 0.02272727]","[0.18181818 0.18181818 0.11363636 0.11363636 0.06818182 0.13636364
 0.20454545]","[0.20454545 0.18181818 0.13636364 0.09090909 0.04545455 0.04545455
 0.02272727 0.02272727 0.06818182 0.02272727 0.02272727 0.
 0.         0.         0.02272727 0.02272727 0.02272727 0.02272727
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.02272727 0.
 0.         0.02272727]",3.281888565853471,1.692994346750288,0.0
6111348138,3.5105330331407356,"[0.0078125 0.015625  0.        0.        0.        0.        0.
 0.015625  0.0234375 0.0703125 0.1328125 0.046875  0.1015625 0.1171875
 0.078125  0.078125  0.1171875 0.0390625 0.0234375 0.046875  0.0234375
 0.0078125 0.03125   0.0234375]",[0.15625   0.21875   0.1875    0.0390625 0.03125   0.2421875 0.125    ],"[0.7109375 0.2109375 0.03125   0.        0.015625  0.0078125 0.015625
 0.        0.0078125]",10.734005632224866,0.96411890041719,0.0
698141415,3.130103277802265,"[0.08108108 0.13513514 0.02702703 0.05405405 0.02702703 0.08108108
 0.         0.02702703 0.10810811 0.05405405 0.         0.02702703
 0.         0.         0.         0.         0.         0.05405405
 0.         0.02702703 0.02702703 0.13513514 0.08108108 0.05405405]","[0.13513514 0.32432432 0.18918919 0.05405405 0.10810811 0.10810811
 0.08108108]","[0.32432432 0.18918919 0.05405405 0.08108108 0.10810811 0.02702703
 0.         0.02702703 0.05405405 0.         0.02702703 0.
 0.02702703 0.         0.         0.02702703 0.         0.
 0.         0.         0.         0.         0.02702703 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.02702703]",3.9211144168276255,1.2753996283658249,0.0
17798588,2.511167912854434,"[0.35897436 0.1025641  0.         0.         0.05128205 0.1025641
 0.02564103 0.         0.02564103 0.         0.         0.
 0.         0.07692308 0.05128205 0.07692308 0.02564103 0.
 0.         0.         0.         0.         0.         0.1025641 ]","[0.12820513 0.20512821 0.23076923 0.07692308 0.23076923 0.02564103
 0.1025641 ]","[0.33333333 0.1025641  0.1025641  0.07692308 0.07692308 0.
 0.12820513 0.02564103 0.05128205 0.         0.         0.
 0.02564103 0.02564103 0.         0.         0.         0.02564103
 0.02564103]",2.9610938391517134,1.062995428802562,0.0
5719413972,1.9334530774839505,"[0.09677419 0.09677419 0.03225806 0.06451613 0.16129032 0.
 0.         0.12903226 0.03225806 0.03225806 0.06451613 0.
 0.         0.03225806 0.06451613 0.03225806 0.         0.
 0.         0.         0.         0.         0.09677419 0.06451613]","[0.29032258 0.06451613 0.19354839 0.12903226 0.12903226 0.12903226
 0.06451613]","[0.38709677 0.12903226 0.09677419 0.06451613 0.         0.06451613
 0.         0.03225806 0.         0.03225806 0.03225806 0.
 0.         0.03225806 0.03225806 0.         0.         0.
 0.         0.         0.         0.         0.03225806 0.
 0.03225806 0.         0.03225806]",2.2112072808688965,1.67146876576569,0.0
53034376,2.761989399586994,"[0.13114754 0.         0.01639344 0.         0.         0.
 0.         0.         0.01639344 0.03278689 0.14754098 0.08196721
 0.08196721 0.01639344 0.01639344 0.01639344 0.         0.01639344
 0.03278689 0.03278689 0.01639344 0.08196721 0.06557377 0.19672131]","[0.16393443 0.1147541  0.03278689 0.14754098 0.14754098 0.19672131
 0.19672131]","[0.47540984 0.16393443 0.09836066 0.08196721 0.03278689 0.01639344
 0.06557377 0.01639344 0.03278689 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01639344]",4.187505178650679,0.8202311897963739,0.05
6947363606,1.4793378863294395,"[0.02941176 0.08823529 0.11764706 0.08823529 0.05882353 0.08823529
 0.05882353 0.         0.05882353 0.         0.         0.
 0.         0.         0.         0.         0.         0.08823529
 0.05882353 0.08823529 0.08823529 0.02941176 0.02941176 0.02941176]","[0.05882353 0.11764706 0.14705882 0.17647059 0.20588235 0.20588235
 0.08823529]","[0.26470588 0.11764706 0.20588235 0.         0.05882353 0.11764706
 0.08823529 0.         0.02941176 0.02941176 0.         0.
 0.         0.         0.02941176 0.         0.02941176 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.02941176]",3.487626618797282,0.767560429756867,0.0
