user_id,rho_a,pd_t,pw_t,p_Na,Nw,A_best,p_value
325277511,8.0507690728478,"[0.04697592 0.05343511 0.05578391 0.05108632 0.03992954 0.02113917
 0.01702877 0.00763359 0.00469759 0.0017616  0.002936   0.00587199
 0.02818555 0.05578391 0.06694069 0.08514386 0.07457428 0.0628303
 0.05695831 0.05343511 0.05519671 0.05402231 0.04991192 0.04873752]","[0.15678215 0.16793893 0.10628303 0.07751028 0.13916618 0.18027011
 0.17204932]","[0.37169701 0.21080446 0.10980622 0.08514386 0.0598943  0.03816794
 0.03170875 0.01291838 0.01526718 0.01174398 0.01291838 0.00528479
 0.00469759 0.00645919 0.0017616  0.00528479 0.0023488  0.0017616
 0.002936   0.0017616  0.002936   0.0011744  0.         0.
 0.0017616  0.         0.         0.         0.         0.
 0.0005872  0.         0.         0.0011744 ]",22.038295592883937,0.4486533378980458,0.0
274636082,3.0175578308535367,"[0.03633218 0.0432526  0.03979239 0.03287197 0.03200692 0.05276817
 0.08304498 0.07612457 0.06055363 0.06141869 0.06055363 0.07439446
 0.07093426 0.05968858 0.03114187 0.00778547 0.0017301  0.00086505
 0.00432526 0.01124567 0.03114187 0.05882353 0.0432526  0.02595156]","[0.16089965 0.16089965 0.14619377 0.12889273 0.14619377 0.11678201
 0.14013841]","[0.45155709 0.20415225 0.10899654 0.05276817 0.04584775 0.0467128
 0.01816609 0.01470588 0.01297578 0.00951557 0.00951557 0.00778547
 0.00519031 0.00259516 0.0017301  0.         0.         0.00259516
 0.         0.0017301  0.         0.00086505 0.00086505 0.0017301 ]",10.591267638982506,0.7223818664528993,0.0
323309626,1.2662550184008738,"[0.08405797 0.08405797 0.08695652 0.09855072 0.11884058 0.09565217
 0.09565217 0.05217391 0.05217391 0.03478261 0.0057971  0.03478261
 0.02318841 0.0173913  0.         0.0057971  0.         0.
 0.         0.         0.0057971  0.01449275 0.03768116 0.05217391]","[0.13043478 0.13913043 0.16231884 0.14202899 0.15362319 0.13623188
 0.13623188]","[0.24637681 0.16811594 0.12753623 0.07246377 0.08985507 0.04927536
 0.0173913  0.02318841 0.03478261 0.02898551 0.02898551 0.01449275
 0.0057971  0.01449275 0.01449275 0.0057971  0.00289855 0.00869565
 0.00869565 0.         0.         0.00289855 0.00289855 0.00289855
 0.0057971  0.00289855 0.         0.00289855 0.         0.
 0.0057971  0.         0.00289855 0.         0.         0.
 0.         0.00289855 0.         0.         0.         0.
 0.         0.         0.         0.00289855 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00289855]",1.5578071150250798,1.8330621796285589,0.0
1848901170,2.519878997613786,"[0.07458564 0.03314917 0.0441989  0.06353591 0.02762431 0.03867403
 0.02486188 0.01104972 0.01381215 0.00828729 0.00276243 0.00828729
 0.06629834 0.02209945 0.0359116  0.03314917 0.03038674 0.03314917
 0.06906077 0.0801105  0.05524862 0.0718232  0.05801105 0.09392265]","[0.1519337  0.13259669 0.18232044 0.1160221  0.09944751 0.1519337
 0.16574586]","[0.23756906 0.19337017 0.11878453 0.08839779 0.06353591 0.06353591
 0.04972376 0.02209945 0.02762431 0.02486188 0.01381215 0.01933702
 0.01381215 0.00828729 0.00552486 0.01104972 0.00552486 0.00552486
 0.00276243 0.         0.         0.00552486 0.00552486 0.
 0.         0.00276243 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00276243
 0.         0.00276243 0.         0.         0.         0.
 0.         0.         0.         0.         0.00276243 0.
 0.         0.         0.         0.         0.         0.00276243]",2.1588302147604055,1.628956435242348,0.0
4473225,3.4264589450391782,"[0.10233393 0.1059246  0.05745063 0.06283662 0.05385996 0.08438061
 0.07181329 0.05924596 0.05206463 0.03590664 0.06283662 0.05385996
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01077199 0.04308797 0.06642729 0.07719928]","[0.19748654 0.1059246  0.1059246  0.1454219  0.14721724 0.14362657
 0.15439856]","[0.33572711 0.24236984 0.14901257 0.07719928 0.05745063 0.04129264
 0.01077199 0.01615799 0.01974865 0.01077199 0.00359066 0.00359066
 0.00897666 0.00718133 0.005386   0.00179533 0.00179533 0.00359066
 0.         0.         0.00179533 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00179533]",3.990014918779599,1.8138684885587175,0.0
145800528,0.4039288686655304,"[0.07287449 0.08906883 0.048583   0.06477733 0.02834008 0.01214575
 0.         0.         0.         0.         0.01619433 0.048583
 0.09716599 0.06072874 0.04048583 0.06477733 0.03238866 0.048583
 0.06477733 0.06477733 0.04048583 0.04453441 0.01619433 0.04453441]","[0.09311741 0.10526316 0.14574899 0.18218623 0.1902834  0.10526316
 0.17813765]","[0.29554656 0.13360324 0.12550607 0.07692308 0.07692308 0.0242915
 0.03238866 0.0242915  0.03238866 0.02024291 0.01214575 0.02024291
 0.01619433 0.01214575 0.00404858 0.00809717 0.01619433 0.00809717
 0.00404858 0.00404858 0.         0.         0.         0.
 0.00404858 0.         0.         0.         0.         0.00404858
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00404858 0.         0.         0.00404858
 0.         0.         0.00404858 0.         0.         0.00404858
 0.         0.         0.00809717 0.         0.         0.
 0.         0.         0.         0.         0.00404858 0.
 0.         0.00404858 0.         0.         0.         0.
 0.         0.         0.00404858 0.         0.00404858 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00404858]",0.656921500247449,2.4853271903079657,0.0
6988965722,2.3033974847409757,"[0.09335443 0.09651899 0.05063291 0.03322785 0.02689873 0.02531646
 0.01107595 0.01107595 0.01265823 0.00632911 0.00316456 0.00632911
 0.00474684 0.0221519  0.08386076 0.08227848 0.0664557  0.05063291
 0.0664557  0.05537975 0.05063291 0.0443038  0.05221519 0.0443038 ]","[0.09651899 0.08702532 0.10917722 0.17721519 0.15189873 0.17563291
 0.20253165]","[0.47943038 0.20094937 0.12025316 0.0806962  0.03639241 0.02056962
 0.01582278 0.00949367 0.00632911 0.00474684 0.00158228 0.00474684
 0.00791139 0.00316456 0.00158228 0.00316456 0.00158228 0.
 0.         0.         0.         0.         0.         0.
 0.         0.00158228]",4.831970726545307,0.7461572020597765,0.0
32432053,0.529116917072866,"[0.04075235 0.04388715 0.05956113 0.04388715 0.04388715 0.02821317
 0.02507837 0.0031348  0.01253918 0.0031348  0.         0.
 0.         0.01567398 0.04075235 0.09090909 0.0815047  0.06896552
 0.06583072 0.05642633 0.06583072 0.09717868 0.06896552 0.04388715]","[0.10031348 0.19749216 0.14420063 0.169279   0.11598746 0.169279
 0.10344828]","[0.41065831 0.17554859 0.09404389 0.10971787 0.05329154 0.04075235
 0.02194357 0.01880878 0.00626959 0.00626959 0.0031348  0.00626959
 0.00626959 0.         0.00626959 0.0031348  0.0031348  0.0031348
 0.0031348  0.         0.0031348  0.         0.         0.0031348
 0.         0.         0.00626959 0.         0.         0.
 0.         0.         0.         0.0031348  0.00626959 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.0031348  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.0031348 ]",0.8506572449250474,2.5888677768702224,0.0
786960293,0.7656343937112792,"[0.01176471 0.02352941 0.         0.         0.         0.
 0.         0.         0.04705882 0.05882353 0.02352941 0.18823529
 0.07058824 0.07058824 0.07058824 0.04705882 0.10588235 0.02352941
 0.01176471 0.01176471 0.11764706 0.03529412 0.05882353 0.02352941]","[0.29411765 0.15294118 0.14117647 0.18823529 0.08235294 0.09411765
 0.04705882]","[0.15294118 0.12941176 0.12941176 0.14117647 0.02352941 0.01176471
 0.05882353 0.         0.01176471 0.03529412 0.02352941 0.02352941
 0.04705882 0.         0.         0.02352941 0.02352941 0.02352941
 0.01176471 0.03529412 0.         0.01176471 0.         0.
 0.01176471 0.         0.         0.01176471 0.01176471 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01176471 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.01176471 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.01176471 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01176471]",0.4431487702781099,3.6911503773133,0.0
302926911,2.2962125494628074,"[0.00200401 0.         0.         0.         0.06613226 0.08216433
 0.01803607 0.02204409 0.01603206 0.04008016 0.06613226 0.07214429
 0.08016032 0.05811623 0.0761523  0.05210421 0.02204409 0.03807615
 0.04809619 0.05811623 0.06813627 0.07014028 0.02805611 0.01603206]","[0.1002004  0.12224449 0.16833667 0.16833667 0.15430862 0.14829659
 0.13827655]","[0.4509018  0.26452906 0.10220441 0.08016032 0.04008016 0.02004008
 0.01402806 0.00400802 0.01002004 0.00400802 0.00200401 0.
 0.         0.         0.00200401 0.00400802 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00200401]",2.751760929335324,1.238510602133149,0.0
